id,name,sort_no,province_id,discriminator_type
"931","Thành phố Ngã Bảy","931","93","district"
"932","Huyện Châu Thành A","932","93","district"
"933","Huyện Châu Thành","933","93","district"
"934","Huyện Phụng Hiệp","934","93","district"
"935","Huyện Vị Thuỷ","935","93","district"
"936","Huyện Long Mỹ","936","93","district"
"937","Thị xã Long Mỹ","937","93","district"
"941","Thành phố Sóc Trăng","941","94","district"
"942","Huyện Châu Thành","942","94","district"
"943","Huyện Kế Sách","943","94","district"
"944","Huyện Mỹ Tú","944","94","district"
"945","Huyện Cù Lao Dung","945","94","district"
"946","Huyện Long Phú","946","94","district"
"947","Huyện Mỹ Xuyên","947","94","district"
"948","Thị xã Ngã Năm","948","94","district"
"949","Huyện Thạnh Trị","949","94","district"
"950","Thị xã Vĩnh Châu","950","94","district"
"951","Huyện Trần Đề","951","94","district"
"954","Thành phố Bạc Liêu","954","95","district"
"956","Huyện Hồng Dân","956","95","district"
"957","Huyện Phước Long","957","95","district"
"958","Huyện Vĩnh Lợi","958","95","district"
"959","Thị xã Giá Rai","959","95","district"
"960","Huyện Đông Hải","960","95","district"
"961","Huyện Hoà Bình","961","95","district"
"964","Thành phố Cà Mau","964","96","district"
"966","Huyện U Minh","966","96","district"
"967","Huyện Thới Bình","967","96","district"
"968","Huyện Trần Văn Thời","968","96","district"
"969","Huyện Cái Nước","969","96","district"
"970","Huyện Đầm Dơi","970","96","district"
"971","Huyện Năm Căn","971","96","district"
"972","Huyện Phú Tân","972","96","district"
"973","Huyện Ngọc Hiển","973","96","district"
